"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2017-05-17","658","666","658","666","-0.45","909"
"BPCL","2017-05-18","666","679","662","679","1.95","1078"
"BPCL","2017-05-21","681","681","654","654","-3.68","1343"
"BPCL","2017-05-22","651","680","651","667","1.99","661"
"BPCL","2017-05-23","678","680","675","680","1.95","1939"
"BPCL","2017-05-24","680","677","670","675","-0.74","1760"
"BPCL","2017-05-28","670","670","665","667","-1.19","1527"
"BPCL","2017-05-30","655","693","654","693","3.90","438"
"BPCL","2017-06-01","680","680","667","669","-3.46","520"
"BPCL","2017-06-04","660","660","641","650","-3.14","2510"
"BPCL","2017-06-05","640","665","640","654","0.93","5825"
"BPCL","2017-06-06","664","677","654","677","3.52","6038"
"BPCL","2017-06-07","690","709","675","675","-0.30","9682"
"BPCL","2017-06-08","684","686","680","685","1.48","340"
"BPCL","2017-06-11","672","672","659","666","-2.77","10127"
"BPCL","2017-06-12","660","660","660","660","-0.90","3000"
"BPCL","2017-06-13","665","665","654","655","-0.91","3048"
"BPCL","2017-06-14","650","655","650","651","-0.46","5535"
"BPCL","2017-06-15","655","670","655","670","2.92","2156"
"BPCL","2017-06-18","670","657","650","650","-2.99","300"
"BPCL","2017-06-21","650","652","640","652","0.31","521"
"BPCL","2017-06-22","650","650","641","641","-1.69","831"
"BPCL","2017-06-25","645","645","640","640","-0.16","124"
"BPCL","2017-06-27","633","633","630","633","-1.56","2350"
"BPCL","2017-06-28","642","642","635","640","1.59","2750"
"BPCL","2017-07-02","628","628","616","621","-2.97","2495"
"BPCL","2017-07-03","617","625","615","615","-0.97","3090"
"BPCL","2017-07-04","615","615","611","615","-0.65","1550"
"BPCL","2017-07-05","615","615","615","615","0.65","495"
"BPCL","2017-07-06","620","632","620","630","2.44","1590"
"BPCL","2017-07-09","630","642","625","625","-0.79","1500"
"BPCL","2017-07-10","613","625","613","625","0.00","484"
"BPCL","2017-07-11","616","629","616","628","0.64","911"
"BPCL","2017-07-12","641","653","626","626","-0.48","619"
"BPCL","2017-07-13","626","626","620","620","-0.96","2705"
"BPCL","2017-07-16","620","620","620","620","0.00","431"
"BPCL","2017-07-17","620","632","620","632","1.93","108"
"BPCL","2017-07-18","636","636","626","626","-0.95","1377"
"BPCL","2017-07-19","635","640","625","640","2.24","1873"
"BPCL","2017-07-20","635","635","630","630","-1.56","1760"
"BPCL","2017-07-23","621","630","606","630","0.00","2457"
"BPCL","2017-07-24","630","635","630","635","0.79","240"
"BPCL","2017-07-25","640","640","626","635","0.00","2851"
"BPCL","2017-07-26","635","650","635","635","0.00","2582"
"BPCL","2017-07-27","628","634","628","634","-0.16","272"
"BPCL","2017-07-30","646","655","646","649","2.52","1142"
"BPCL","2017-07-31","640","655","640","650","0.00","8725"
"BPCL","2017-08-01","645","655","645","655","0.77","6799"
"BPCL","2017-08-02","660","673","656","668","1.98","13643"
"BPCL","2017-08-03","668","673","655","666","-0.30","6293"
"BPCL","2017-08-06","665","669","652","652","-2.10","3607"
"BPCL","2017-08-07","650","654","648","654","0.31","12550"
"BPCL","2017-08-09","660","660","645","650","-0.61","8349"
"BPCL","2017-08-10","646","653","641","653","0.46","3605"
"BPCL","2017-08-13","660","660","645","645","-1.23","849"
"BPCL","2017-08-15","640","645","640","642","-0.47","1984"
"BPCL","2017-08-16","640","646","637","646","-0.31","1002"
"BPCL","2017-08-17","640","640","636","636","-0.62","79"
"BPCL","2017-08-20","637","640","632","632","-0.63","2141"
"BPCL","2017-08-21","635","635","623","625","-1.42","1200"
"BPCL","2017-08-22","635","636","630","636","1.93","3255"
"BPCL","2017-08-23","635","635","626","626","-1.42","472"
"BPCL","2017-08-24","626","638","630","636","1.60","973"
"BPCL","2017-08-27","636","635","635","635","-0.16","500"
"BPCL","2017-08-28","635","635","611","617","-2.83","1216"
"BPCL","2017-08-30","623","649","622","640","3.73","2153"
"BPCL","2017-08-31","640","640","627","640","0.00","2108"
"BPCL","2017-09-04","630","630","624","625","-2.34","1871"
"BPCL","2017-09-06","625","630","625","630","0.80","657"
"BPCL","2017-09-07","640","640","632","634","0.63","533"
"BPCL","2017-09-10","622","625","611","616","-2.84","1509"
"BPCL","2017-09-11","619","620","616","616","0.00","1796"
"BPCL","2017-09-12","616","616","607","607","-1.46","3660"
"BPCL","2017-09-13","610","618","605","618","1.81","3477"
